different pattern numbers: 551
D: digits, A: alphabets, N: unknown

<pattern> <times>
----------------------------------------
AD 185311
A 153410
D 26095
DA 24963
ADA 18676
 10656
ADAD 5604
DAD 4647
ADADA 3899
AND 2361
DADA 2163
ADN 1908
ADADAD 1646
AN 1113
ANA 927
ADADADA 800
DADADA 734
DADAD 627
ADADADAD 622
ANAD 488
DADADADA 425
ADAN 336
DAN 271
NAD 262
DNA 219
ADANA 217
ANANA 207
ADNA 184
ANDA 184
NAN 169
ANADA 163
DADADAD 156
ADND 147
ADADADADA 145
NA 127
NDA 122
ADADADADAD 106
ANAND 102
NADN 100
ADADN 95
ANAN 84
DANA 83
ADADAN 81
ANDN 80
ANANAD 79
ADADADADADAD 75
ANDNA 64
NADA 64
ADAND 64
DAND 53
ADNAD 51
DADN 50
ANADAD 49
DN 48
ADNAN 45
DND 41
DNDND 39
DADADADADA 38
ANDND 36
DADADADAD 36
NAND 33
ADANAD 30
NADAN 28
DADADADADADA 28
DADAN 27
ND 26
DNAD 26
NADAD 25
DANANA 25
ADANADA 24
ANADN 24
ADANAN 23
ANANADA 23
DNAND 23
ADADADADADA 23
ANANANA 22
NANA 22
NDN 22
ADNDA 22
ADADADAN 22
ANADADA 21
ANANDA 20
NDADN 20
NDAD 19
ADADADN 19
ADNANA 18
DANAD 18
NDAN 18
N 17
ANDAN 16
ADANANA 15
ANDAD 15
NANAD 15
ANANAN 15
ADNADA 15
ANDADA 15
ADADND 14
ADADANA 14
DADADN 14
ADANDA 14
DNANA 13
ADADNA 13
ADADADADN 12
ADNDN 12
ADANADN 12
DANADA 12
DANAN 11
NANDA 11
ANADNA 11
ANDNAD 10
NANADA 10
DNDA 10
NDADA 10
NANAN 10
NADADA 10
NADADN 10
ANADADAD 9
ANANANAN 9
NANADADA 9
DADADAN 9
ANANAND 9
NDNA 9
ADADANAD 8
NANANAN 8
ANANANANA 8
NANDN 8
ADNADN 8
ANDNDA 8
ADNDND 8
ANANANAD 8
NADADAN 8
ADANDN 8
DNDNA 8
ANADANA 7
ADADAND 7
ADNDAD 7
DNAN 7
NDADAN 7
DADANA 7
ANANADN 6
ADNADAD 6
DNADA 6
DANDA 6
ANADND 6
ANADAN 6
ANADANAD 6
DADND 6
ADNAND 6
NDAND 6
NADANA 6
ADADANAN 5
ANADADN 5
ADANDAD 5
ADANADAD 5
NADADAD 5
ADNANDA 5
ADADNANA 5
DADANAD 5
NDANA 5
ANDADAD 5
DANANAD 5
ANANADAD 5
ADADNAN 5
ADANANANA 5
ADANADAN 5
DNDNDA 4
ANDNAND 4
ANANANADA 4
DANAND 4
ADANDNA 4
ADANAND 4
NDNDA 4
NADADADA 4
ADADANADA 4
ADNADNA 4
NANANA 4
DADNA 4
DADNDA 4
NANDNA 4
DNDN 4
DADADADAN 4
ADANANADA 4
DADADADADAD 4
DNANDA 4
ADADANANA 4
NADNAN 4
ANDANDA 4
ADNANAD 4
DADANANA 4
ANANDAN 3
ANANADAN 3
ANDNANA 3
ANADAND 3
NANDADA 3
DANDNA 3
ANADANADA 3
ANDNAN 3
ANANDNA 3
DNADAD 3
DADNADA 3
NANANANA 3
ADNDNA 3
ANDAND 3
DADADNA 3
DNANAND 3
DADANDAN 3
ANANANDN 3
ADNADND 3
NDADADN 3
ADANADADA 3
ANDNDN 3
NADNA 3
DANADN 3
ADADADANA 3
DANADAD 3
ANANANDA 3
ADNANAN 3
ADADNDADN 3
NANANADADADA 3
ANANANANANAN 3
ANADADAN 3
DADADANA 3
NADAND 3
DANANAN 3
ADADADND 3
DADADANANA 3
ANANDAD 3
DNADANDA 3
NANADAN 2
ANANANANAN 2
ADADANDA 2
ANADANAN 2
NANAND 2
DANDAD 2
ADADNDA 2
ADADADADADADAD 2
NADADADAD 2
ANANDN 2
