different digits: 272255

<digits> <times>
----------------------------------------
b'1' 39958
b'2' 35814
b'123456' 26637
b'3' 25826
b'123' 21960
b'4' 17370
b'0' 17210
b'5' 12611
b'8' 11116
b'9' 9793
b'7' 9443
b'520' 8528
b'6' 8509
b'123456789' 7932
b'1234' 6783
b'12' 4810
b'521' 4631
b'5201314' 4424
b'12345678' 3428
b'52' 3216
b'1314' 3075
b'12345' 2953
b'1234567' 2837
b'00' 2718
b'11' 2602
b'88' 2282
b'163' 2268
b'2008' 2219
b'123123' 2110
b'1989' 1976
b'1314520' 1925
b'2010' 1923
b'1988' 1909
b'1987' 1854
b'123321' 1854
b'10' 1765
b'111111' 1717
b'2009' 1639
b'7758521' 1619
b'54' 1508
b'21' 1468
b'99' 1406
b'23' 1319
b'0083' 1288
b'1986' 1255
b'126' 1243
b'456' 1237
b'5211314' 1237
b'111' 1176
b'13' 1164
b'1990' 1162
b'22' 1094
b'01' 1083
b'000000' 1030
b'000' 1020
b'77' 987
b'110' 940
b'1111' 929
b'20' 916
b'19' 916
b'1985' 906
b'78' 906
b'007' 905
b'51' 872
b'89' 872
b'888' 864
b'08' 860
b'1234567890' 858
b'321' 834
b'33' 833
b'09' 827
b'1984' 827
b'87' 815
b'98' 774
b'789' 759
b'1983' 756
b'654321' 727
b'86' 723
b'66' 722
b'1982' 720
b'24' 713
b'100' 698
b'34' 682
b'07' 669
b'18' 664
b'17' 646
b'45' 643
b'90' 638
b'8023' 638
b'02' 637
b'1314521' 635
b'06' 628
b'168' 620
b'2007' 614
b'159357' 609
b'55' 606
b'94' 596
b'123654' 591
b'963' 591
b'03' 590
b'25' 586
b'1111111' 583
b'56' 579
b'83' 574
b'11111111' 567
b'1991' 554
b'32' 553
b'79' 551
b'14' 551
b'05' 551
b'04' 549
b'15' 542
b'1981' 538
b'112233' 536
b'39' 533
b'16' 525
b'27' 523
b'26' 523
b'7758258' 510
b'28' 509
b'80' 506
b'82' 501
b'2006' 501
b'159' 499
b'85' 496
b'001' 495
b'2000' 492
b'47' 491
b'76' 486
b'84' 479
b'999' 471
b'0000' 459
b'159753' 454
b'81' 448
b'29' 442
b'1230' 438
b'44' 437
b'30' 430
b'65' 421
b'520520' 418
b'369' 416
b'97' 406
b'68' 401
b'35' 398
b'58' 398
b'74' 394
b'2005' 382
b'37' 381
b'147258' 376
b'31' 374
b'36' 373
b'1980' 371
b'38' 369
b'666' 364
b'75' 362
b'67' 362
b'2002' 350
b'333' 350
b'72' 349
b'43' 347
b'73' 345
b'00000000' 343
b'91' 342
b'666666' 341
b'201314' 321
b'911' 321
b'92' 321
b'57' 319
b'147' 318
b'123123123' 317
b'987654321' 315
b'135' 313
b'2003' 310
b'64' 303
b'112358' 303
b'100200' 302
b'63' 301
b'0000000' 300
b'53' 294
b'258' 292
b'123789' 292
b'121' 289
b'46' 287
b'48' 285
b'96' 284
b'1979' 284
b'69' 284
b'518' 282
b'1992' 281
b'2004' 280
b'119' 278
b'555' 277
b'95' 275
b'13579' 273
b'753951' 272
b'1234560' 270
b'71' 269
b'951' 269
b'222' 263
b'1122' 260
b'987' 259
b'2001' 256
b'59' 254
b'31415926' 252
b'314159' 250
b'61' 249
b'50' 249
b'62' 243
