different emails: 70722

<emails> <times>
----------------------------------------
b'qq.com' 1909275
b'163.com' 1740877
b'126.com' 796352
b'sina.com' 348515
b'yahoo.com.cn' 203271
b'hotmail.com' 200271
b'gmail.com' 185131
b'sohu.com' 103293
b'yahoo.cn' 86102
b'tom.com' 71082
b'yeah.net' 52793
b'21cn.com' 49929
b'QQ.COM' 38003
b'vip.qq.com' 34869
b'139.com' 28219
b'163.COM' 25966
b'QQ.com' 25654
b'263.net' 24576
b'sina.com.cn' 18967
b'live.cn' 18657
b'sina.cn' 18524
b'yahoo.com' 18251
b'foxmail.com' 16210
b'163.net' 15041
b'msn.com' 14024
b'eyou.com' 13240
b'126.COM' 11521
b'yahoo.com.tw' 10719
b'huiseo.cn' 8493
b'csoftmail.cn' 7121
b'citiz.net' 6549
b'vip.sina.com' 5334
b'189.cn' 4818
b'etang.com' 4212
b'chinaren.com' 3914
b'yahoo.com.hk' 3858
b'neusoft.com' 2926
b'wormsoft.cn' 2780
b'SINA.COM' 2618
b'bdqnok-cp.com.cn' 2551
b'sogou.com' 2545
b'live.com' 2492
b'qq.COM' 2408
b'mail.china.com' 2155
b'china.com' 2142
b'mail.ustc.edu.cn' 2035
b'huawei.com' 1911
b'sjtu.edu.cn' 1873
b'vip.163.com' 1834
b'371.net' 1789
b'10pig.com.cn' 1782
b'YAHOO.COM.CN' 1719
b'zte.com.cn' 1663
b'cp-bdqnok.com.cn' 1632
b'company-mail.cn' 1555
b'msn.cn' 1492
b'netease.com' 1476
b'HOTMAIL.COM' 1473
b'uggsrock.com' 1363
b'bjtu.edu.cn' 1322
b'hotmail.com.tw' 1312
b'owlpic.com' 1277
b'siteposter.net' 1275
b'SOHU.COM' 1246
b'2008.sina.com' 1171
b'elong.com' 1154
b'TOM.COM' 1055
b'yahoo.co.jp' 1048
b'x263.net' 1038
b'chongseo.com' 1033
b'bofthew.com' 1022
b'Hotmail.com' 997
b'tyldd.com' 992
b'139.COM' 984
b'fudan.edu.cn' 981
b'marketnet.com.cn' 963
b'newline.net.cn' 955
b'stu.xjtu.edu.cn' 929
b'online.sh.cn' 921
b'msa.hinet.net' 920
b'zju.edu.cn' 872
b'king.com' 870
b'Gmail.com' 854
b'cmmail.com' 836
b'56.com' 827
b'cpok-bdqn.com.cn' 818
b'123.com' 801
b'china.com.cn' 796
b'zj.com' 794
b'fm365.com' 759
b'71mail.com.cn' 751
b'avl.com.cn' 740
