different specials: 2234

<specials> <times>
----------------------------------------
b'.' 42642
b'@' 32203
b'_' 27990
b'-' 11864
b'*' 5503
b'+' 4508
b'!' 3901
b'#' 2678
b'&' 2648
b'=' 2426
b'/' 2143
b'..' 1713
b' ' 1528
b'$' 1435
b'?' 1210
b'`' 1127
b'!@#' 903
b'**' 885
b'~' 884
b'%' 834
b';' 828
b',' 825
b'(' 696
b'@@' 693
b'...' 597
b'@#' 437
b'!@' 414
b'__' 411
b'--' 410
b'[' 372
b'++' 362
b':' 347
b'^' 345
b'***' 324
b"'" 316
b'//' 299
b'!!' 296
b'<' 265
b'!@#$' 224
b')' 222
b'@@@' 222
b'##' 188
b'&&' 186
b'==' 166
b'*#' 164
b'=-' 159
b'??' 151
b'@.' 151
b'@#$' 148
b'$$' 137
b'\\' 135
b'+-' 135
b'>' 131
b'-=' 127
b'!!!' 126
b'  ' 120
b']' 112
b'()' 110
b'[]' 101
b'+-*/' 97
b'.*' 94
b'``' 93
b'---' 93
b'/*' 90
b'/*-' 90
b'{' 86
b'./' 86
b'#$' 86
b'+++' 85
b'@!' 83
b'"' 82
b'!@#$%' 81
b',.' 80
b'#*' 77
b'~~' 76
b'&*' 69
b'*/' 68
b'@$' 68
b'~!' 68
b'???' 68
b'~!@' 66
b'///' 65
b'###' 62
b',./' 60
b'<>' 59
b'/*-+' 59
b'___' 54
b'?!' 54
b";'" 54
b'-+' 53
b'@*' 53
b'****' 53
b'!@#$%^' 50
b'....' 49
b'   ' 48
b'.+' 46
b'^^' 45
b'#@' 45
b'*.' 43
b'@&' 42
b'://' 41
b'.@' 39
b'```' 38
b'+_' 36
b'%%' 35
b'%@)' 35
b'$%^' 35
b'_@' 35
b'$$$' 35
b'_+' 35
b'@_' 34
b'%@!' 34
b'!#' 33
b'+.' 33
b'<>?' 32
b'$%' 32
b'/.' 31
b'][' 30
b'*&' 29
b';;' 29
b'*.*' 29
b'!#!$' 27
b'|' 26
b'*(' 26
b'@@@@' 25
b'@%' 25
b'^_^' 24
b'/.,' 24
b'*+' 23
b'===' 23
b';/' 23
b'_-' 23
b'!?' 23
b',,' 22
b'***???' 22
b'@#$%' 22
b"';" 21
b'$@' 21
b'~~~' 21
b'++--' 21
b'******' 21
b'\\\\' 20
b'......' 20
b'-=\\' 20
b'}' 20
b'*-' 19
b'.....' 19
b'?><' 18
b'*@' 18
b'((' 18
b'@-' 18
b'$#' 18
b'~!@#' 17
b'&*(' 17
b'%$' 17
b'/*-+.' 16
b'%@' 16
b'/\\' 15
b'!*' 15
b'+*' 15
b'#@!' 15
b'->' 15
b'----' 15
b'@$$' 15
b'#%' 15
b'........' 15
b'!@#$%^&*' 14
b'@?' 14
b'.-' 14
b'*-+' 14
b'-.' 14
b'[]\\' 13
b'!~' 13
b'#$%' 13
b'!!!!' 13
b'_.' 13
b'~*' 13
b'%#' 12
b'))' 12
b'*****' 12
b'>>' 12
b'$&' 12
b"]'/" 12
b'!##' 12
b'+-*' 12
b'?/' 11
b')(' 11
b'.?' 11
b'!(**' 11
b'-*' 11
b'-*/' 10
b'//**' 10
b'%^&' 10
b'$#@!' 10
b'(*' 10
b'-_' 10
b'**//' 10
b'&&&' 10
b':)' 10
b'!#%' 10
b'{}' 10
b'.,' 10
