different digits: 15260

<digits> <times>
----------------------------------------
b'1' 10194
b'4' 7057
b'2' 6524
b'3' 6099
b'0' 4623
b'7' 2672
b'8' 2635
b'5' 2454
b'6' 2121
b'9' 1980
b'123' 1094
b'12' 923
b'00' 723
b'11' 576
b'33' 473
b'10' 452
b'13' 443
b'23' 385
b'55' 376
b'19' 365
b'22' 341
b'14' 299
b'24' 255
b'21' 253
b'09' 240
b'20' 239
b'99' 235
b'1234' 235
b'123456' 233
b'34' 230
b'69' 228
b'88' 220
b'15' 219
b'01' 217
b'17' 207
b'77' 207
b'18' 186
b'25' 180
b'44' 166
b'16' 165
b'07' 153
b'45' 153
b'03' 153
b'12345' 153
b'08' 151
b'42' 148
b'32' 147
b'27' 144
b'31' 144
b'28' 137
b'26' 133
b'30' 130
b'98' 126
b'67' 124
b'29' 122
b'05' 120
b'56' 119
b'76' 113
b'87' 113
b'78' 113
b'54' 112
b'50' 111
b'47' 111
b'89' 110
b'143' 108
b'02' 108
b'04' 105
b'82' 104
b'66' 102
b'84' 102
b'74' 101
b'85' 99
b'97' 97
b'86' 96
b'2009' 95
b'06' 95
b'65' 94
b'72' 93
b'35' 93
b'43' 93
b'57' 92
b'46' 91
b'49' 91
b'53' 90
b'94' 90
b'68' 90
b'96' 89
b'73' 88
b'83' 88
b'100' 88
b'52' 87
b'93' 87
b'81' 87
b'79' 85
b'40' 83
b'75' 82
b'41' 82
b'007' 82
b'38' 80
b'63' 79
b'71' 79
b'92' 78
b'90' 78
b'64' 78
b'95' 77
b'59' 76
b'777' 75
b'36' 74
b'37' 72
b'80' 70
b'91' 70
b'2008' 69
b'39' 68
b'62' 67
b'666' 66
b'51' 66
b'58' 65
b'321' 63
b'456' 61
b'48' 59
b'70' 58
b'420' 58
b'039' 56
b'60' 53
b'101' 48
b'1701' 47
b'111' 47
b'2007' 45
b'911' 44
b'61' 41
b'333' 38
b'37496' 38
b'234' 36
b'345' 34
b'2004' 31
b'125' 30
b'1234567' 30
b'2010' 30
b'123456789' 30
b'555' 29
b'786' 29
b'888' 29
b'12345678' 29
b'2001' 28
b'2000' 28
b'999' 27
b'987' 27
b'2006' 26
b'1337' 26
b'311' 26
b'812' 26
b'1979' 26
b'2005' 25
b'001' 24
b'789' 24
b'222' 24
b'1983' 24
b'1984' 24
b'300' 24
b'1999' 23
b'1987' 23
b'2002' 23
b'567' 23
b'621' 23
b'500' 22
b'200' 22
b'1985' 22
b'000' 22
b'1986' 21
b'444' 20
b'1988' 20
b'1978' 19
b'1000' 19
b'2003' 19
b'1982' 19
b'6969' 19
