different emails: 35418

<emails> <times>
----------------------------------------
b'yahoo.com' 135599
b'gmail.com' 106185
b'hotmail.com' 54393
b'aol.com' 24677
b'comcast.net' 8422
b'msn.com' 6282
b'sbcglobal.net' 5128
b'live.com' 4258
b'verizon.net' 2983
b'bellsouth.net' 2799
b'cox.net' 2234
b'yahoo.co.in' 2112
b'ymail.com' 2056
b'hotmail.co.uk' 2015
b'earthlink.net' 1929
b'yahoo.co.uk' 1820
b'YAHOO.COM' 1597
b'aim.com' 1584
b'charter.net' 1420
b'att.net' 1351
b'mac.com' 1139
b'rediffmail.com' 1120
b'googlemail.com' 1120
b'rocketmail.com' 1034
b'juno.com' 907
b'optonline.net' 836
b'yahoo.ca' 806
b'AOL.COM' 710
b'peoplepc.com' 559
b'mail.com' 543
b'excite.com' 529
b'HOTMAIL.COM' 482
b'netzero.com' 441
b'netzero.net' 424
b'embarqmail.com' 413
b'yahoo.co.id' 397
b'GMAIL.COM' 396
b'live.co.uk' 366
b'shaw.ca' 342
b'insightbb.com' 339
b'windstream.net' 339
b'Yahoo.com' 337
b'btinternet.com' 332
b'inbox.com' 328
b'tampabay.rr.com' 312
b'yahoo.com.au' 312
b'lycos.com' 311
b'mchsi.com' 309
b'netscape.net' 301
b'gmx.com' 298
b'roadrunner.com' 292
b'myway.com' 290
b'yahoo.fr' 283
b'rogers.com' 268
b'me.com' 267
b'cfl.rr.com' 265
b'Hotmail.com' 260
b'yahoo.com.ph' 253
b'associatedcontent.com' 252
b'frontiernet.net' 245
b'sympatico.ca' 243
b'Gmail.com' 243
b'adelphia.net' 238
b'centurytel.net' 231
b'live.ca' 215
b'email.com' 204
b'163.com' 202
b'cableone.net' 199
b'suddenlink.net' 198
b'hughes.net' 179
b'mindspring.com' 176
b'abv.bg' 176
b'yahoo.com.sg' 173
b'yahoo.in' 171
b'bigpond.com' 169
b'ac.com' 166
b'ntlworld.com' 165
b'mail.ru' 160
b'us.army.mil' 160
b'nc.rr.com' 159
b'in.com' 151
b'yahoo.com.my' 149
b'tmail.com' 147
b'telus.net' 146
b'usa.com' 145
b'yahoo.cn' 144
b'prodigy.net' 138
b'tds.net' 138
b'q.com' 133
b'optusnet.com.au' 128
b'netscape.com' 128
b'126.com' 126
b'yahoo.com.cn' 124
b'qq.com' 123
b'cs.com' 122
b'rock.com' 120
b'wi.rr.com' 120
b'alltel.net' 118
b'carolina.rr.com' 112
b'fuse.net' 112
b'rochester.rr.com' 110
b'wowway.com' 110
b'pacbell.net' 109
b'austin.rr.com' 109
b'tx.rr.com' 109
b'triad.rr.com' 106
b'wmconnect.com' 104
b'ptd.net' 103
b'msu.edu' 101
b'woh.rr.com' 100
b'nyu.edu' 99
b'MSN.COM' 99
b'tiscali.co.uk' 97
b'ameritech.net' 96
b'fastmail.fm' 96
b'indiatimes.com' 95
b'live.com.au' 94
b'rcn.com' 92
b'kc.rr.com' 92
b'hotmail.fr' 92
b'blueyonder.co.uk' 90
b'wildblue.net' 89
b'clearwire.net' 88
b'osu.edu' 88
b'AOL.com' 88
b'sify.com' 86
b'zoominternet.net' 85
b'neo.rr.com' 85
b'twcny.rr.com' 85
b'psu.edu' 84
b'COMCAST.NET' 84
b'web.de' 83
b'yahoo.es' 82
b'satx.rr.com' 81
b'nyc.rr.com' 77
b'columbus.rr.com' 77
b'kent.edu' 77
b'rediff.com' 77
b'bresnan.net' 74
b'indiana.edu' 74
b'nycap.rr.com' 74
b'swbell.net' 74
b'gmai.com' 74
b'knology.net' 74
b'sc.rr.com' 73
b'temple.edu' 73
b'cinci.rr.com' 72
b'inbox.lv' 70
b'hawaii.rr.com' 70
b'windowslive.com' 70
b'ca.rr.com' 69
b'usa.net' 68
b'mailinator.com' 68
b'umich.edu' 66
b'xtra.co.nz' 65
b'yahoo.de' 65
b'iwon.com' 65
b'yahoo.it' 64
b'gamil.com' 64
b'my-info-center.com' 64
b'bigpond.net.au' 63
b'gmx.de' 63
b'google.com' 63
b'stny.rr.com' 62
b'live.nl' 61
b'snet.net' 60
b'atlanticbb.net' 60
b'myspace.com' 60
b'localnet.com' 58
b'cogeco.ca' 58
b'yahoo.ie' 57
b'ufl.edu' 57
b'yaho.com' 56
b'yahoomail.com' 56
b'fsu.edu' 56
b'ohio.edu' 56
b'socal.rr.com' 55
b'comcast.com' 55
b'vt.edu' 55
b'hushmail.com' 55
b'telkomsa.net' 55
b'' 54
b'gmx.net' 53
b'ec.rr.com' 53
b'SBCGLOBAL.NET' 52
b'yahoo.com.br' 51
b'yahoo.gr' 51
b'mail.usf.edu' 49
b'yandex.ru' 49
b'sky.com' 49
b'ucla.edu' 48
b'liberty.edu' 48
b'new.rr.com' 48
b'uga.edu' 47
b'talktalk.net' 47
b'worldnet.att.net' 46
b'hotmai.com' 46
b'sina.com' 46
b'eircom.net' 46
b'consultant.com' 45
b'qwest.net' 44
b'walla.com' 43
b'mts.net' 43
b'u.washington.edu' 42
b'umn.edu' 42
b'epix.net' 42
b'pitt.edu' 41
b'purdue.edu' 41
b'BELLSOUTH.NET' 41
b'aol.in' 41
b'live.se' 41
b'yahoo.co.nz' 40
b'vodamail.co.za' 40
b'corp.aol.com' 40
b'houston.rr.com' 39
b'virgin.net' 39
b'asu.edu' 39
b'VERIZON.NET' 39
b'wisc.edu' 38
b'fsmail.net' 38
b'colorado.edu' 38
b'videotron.ca' 38
b'dslextreme.com' 38
b'text2re.com' 38
b'safe-mail.net' 37
b'operamail.com' 37
b'student.umass.edu' 37
b'maine.rr.com' 37
b'o2.pl' 37
b'consolidated.net' 37
b'chartermi.net' 36
b'uwm.edu' 36
b'btopenworld.com' 36
b'Aol.com' 36
b'iinet.net.au' 35
b'bluebottle.com' 35
b'webmail.co.za' 35
b'hvc.rr.com' 35
b'vcu.edu' 35
b'hot.ee' 35
b'clemson.edu' 34
b'yahoo.com.hk' 34
b'hotmail.it' 34
b'cornell.edu' 33
b'ou.edu' 33
b'metrocast.net' 33
b'mizzou.edu' 33
b'dishmail.net' 33
b'LIVE.COM' 33
b'ucdavis.edu' 32
b'virginia.edu' 32
b'usc.edu' 32
b'utk.edu' 32
b'email.arizona.edu' 32
